Ticker
AAPL
MSFT
NVDA
AMZN
META
GOOGL
AVGO
TSLA
JPM
V
MA
COST
WMT
HD
UNH
LLY
JNJ
PG
KO
PEP
CRM
ORCL
ADBE
NFLX
AMD
QCOM
TXN
AMGN
CAT
IBM
