ticker
AAPL
MSFT
NVDA
META
GOOGL
AMZN
AVGO
COST
AMD
NFLX
ADBE
CRM
NOW
PANW
CRWD
INTU
LRCX
KLAC
AMAT
QCOM
TSLA
ORCL
CSCO
TXN
MU
IBM
UBER
SHOP
SNOW
PLTR
